File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF761MGJ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR681NOM	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CEBPB	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	150-350	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF300RLB/, /files/ENCFF001TDO/, /files/ENCFF284OML/, /files/ENCFF017STY/	41700	ENCODE Processing Pipeline	380214c27906f67ff28dec054d68900a	NA	https://www.encodeproject.org/files/ENCFF761MGJ/@@download/ENCFF761MGJ.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/06/7b2b4476-0715-4fa4-a6a8-f31221cbc181/ENCFF761MGJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/7b2b4476-0715-4fa4-a6a8-f31221cbc181/ENCFF761MGJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, low read depth	NA	NA
ENCFF609KOY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BQK	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATF2	DNA	NA	NA	NA	NA	NA	2012-02-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF599NQC/, /files/ENCFF378GKG/, /files/ENCFF001TDO/, /files/ENCFF071BNB/	516541	ENCODE Processing Pipeline	64817c03f12a08a77eb97b9c2fabe83d	NA	https://www.encodeproject.org/files/ENCFF609KOY/@@download/ENCFF609KOY.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/34fe2ba3-0220-414a-8ddf-33c15dbae09e/ENCFF609KOY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/34fe2ba3-0220-414a-8ddf-33c15dbae09e/ENCFF609KOY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, inconsistent platforms	NA	NA
ENCFF433PFN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DYY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	E2F4	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF128GGA/, /files/ENCFF001TDO/, /files/ENCFF191NQS/, /files/ENCFF319MWF/	85609	ENCODE Processing Pipeline	62c04d74d3bb8393fd21d79f6d87f4c0	NA	https://www.encodeproject.org/files/ENCFF433PFN/@@download/ENCFF433PFN.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/19/f538a6a0-455b-4984-bc03-80f78e10a330/ENCFF433PFN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/19/f538a6a0-455b-4984-bc03-80f78e10a330/ENCFF433PFN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF490VYC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZZ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	TBP	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF113YPN/, /files/ENCFF052EPC/, /files/ENCFF054TZW/	360409	ENCODE Processing Pipeline	83b95b0b1fe7e2d9274f754390afa39e	NA	https://www.encodeproject.org/files/ENCFF490VYC/@@download/ENCFF490VYC.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/19/920ca511-3cb3-482e-82e7-92b7853ac62c/ENCFF490VYC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/19/920ca511-3cb3-482e-82e7-92b7853ac62c/ENCFF490VYC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF066XDW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZA	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAZ	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF007UID/, /files/ENCFF001TDO/, /files/ENCFF138BYH/, /files/ENCFF440OBY/	438480	ENCODE Processing Pipeline	819540d756d42218522ec2e8fd9c0b87	NA	https://www.encodeproject.org/files/ENCFF066XDW/@@download/ENCFF066XDW.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/20/34d2011f-9c73-4387-8962-f30f477d687b/ENCFF066XDW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/20/34d2011f-9c73-4387-8962-f30f477d687b/ENCFF066XDW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment	NA	NA
ENCFF556PIY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DYS	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	JUND	DNA	NA	NA	NA	NA	NA	2012-08-20	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF811UJD/, /files/ENCFF033WHB/, /files/ENCFF435ICE/	138991	ENCODE Processing Pipeline	c91d4953e458d7a3d972d8ce9494ff67	NA	https://www.encodeproject.org/files/ENCFF556PIY/@@download/ENCFF556PIY.bed.gz	NA	NA	NA	released	s3://encode-public/2016/12/01/b430d18d-85ae-47a3-b9c5-320d35404d37/ENCFF556PIY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/01/b430d18d-85ae-47a3-b9c5-320d35404d37/ENCFF556PIY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, improper control_type of control experiment, low read length, low read depth, moderate library complexity	NA	NA
ENCFF372DRC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	USF2	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF485PHV/, /files/ENCFF001TDO/, /files/ENCFF023RDZ/, /files/ENCFF548FHH/	139589	ENCODE Processing Pipeline	c0e28ff4091658d0e94ba0a69b97e145	NA	https://www.encodeproject.org/files/ENCFF372DRC/@@download/ENCFF372DRC.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/14/571ac9a1-01d7-42ec-ac7b-77918f42a827/ENCFF372DRC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/14/571ac9a1-01d7-42ec-ac7b-77918f42a827/ENCFF372DRC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth, borderline replicate concordance	NA	NA
ENCFF306SRV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BGQ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	SPI1	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	2, 3	2_1, 3_1	NA	NA	NA	NA	NA	NA	/files/ENCFF297PGR/, /files/ENCFF001TDO/, /files/ENCFF432MHU/, /files/ENCFF095FHM/	734307	ENCODE Processing Pipeline	ca35217dbbb09cddc8fbd81ba0e07307	NA	https://www.encodeproject.org/files/ENCFF306SRV/@@download/ENCFF306SRV.bed.gz	NA	NA	NA	released	s3://encode-public/2019/02/13/881fe790-2e77-47d8-8a8c-065bceb13ab3/ENCFF306SRV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/02/13/881fe790-2e77-47d8-8a8c-065bceb13ab3/ENCFF306SRV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance, low read depth, moderate library complexity	insufficient read depth	NA
ENCFF967ACD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BNP	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	YY1	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF138XMK/, /files/ENCFF001TDO/, /files/ENCFF864PVD/, /files/ENCFF794ILD/	602532	ENCODE Processing Pipeline	a52540d0d7e72164a332058a082387ee	NA	https://www.encodeproject.org/files/ENCFF967ACD/@@download/ENCFF967ACD.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/25d9578f-922f-455a-bc75-7510dd40e313/ENCFF967ACD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/25d9578f-922f-455a-bc75-7510dd40e313/ENCFF967ACD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth	NA	NA
ENCFF492YMU	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BQZ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	STAT5A	DNA	NA	NA	NA	NA	NA	2012-02-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF447TGK/, /files/ENCFF876BBG/, /files/ENCFF001TDO/, /files/ENCFF772NOR/	198904	ENCODE Processing Pipeline	c5f6d5dee5e25313d5e5dd85604244b8	NA	https://www.encodeproject.org/files/ENCFF492YMU/@@download/ENCFF492YMU.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/13/0a747a34-ffc7-4c1f-bcdd-17cbe90acc0e/ENCFF492YMU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/13/0a747a34-ffc7-4c1f-bcdd-17cbe90acc0e/ENCFF492YMU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, inconsistent platforms	NA	NA
ENCFF931XAL	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZO	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NRF1	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF562LQW/, /files/ENCFF789TQP/, /files/ENCFF502JYT/	90284	ENCODE Processing Pipeline	49b2701b7ddb6de70c1f665a1d884702	NA	https://www.encodeproject.org/files/ENCFF931XAL/@@download/ENCFF931XAL.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/14/df66c584-ae47-4582-8b06-72538dc67f60/ENCFF931XAL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/14/df66c584-ae47-4582-8b06-72538dc67f60/ENCFF931XAL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, improper control_type of control experiment, low read depth	NA	NA
