File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF664XPS	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BGW	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	SPI1	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF087VGU/, /files/ENCFF856TDE/, /files/ENCFF507MNQ/, /files/ENCFF001TDO/	559569	ENCODE Processing Pipeline	2fbe4f6178a50fc708d9f9c5d258379f	NA	https://www.encodeproject.org/files/ENCFF664XPS/@@download/ENCFF664XPS.bed.gz	NA	NA	NA	released	s3://encode-public/2019/02/15/3a4fa7fc-f076-42d6-bd3f-2737336b78be/ENCFF664XPS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/02/15/3a4fa7fc-f076-42d6-bd3f-2737336b78be/ENCFF664XPS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	control low read depth, low read length, low read depth, borderline replicate concordance	NA	NA
ENCFF799HIG	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EFV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAX	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF087MNA/, /files/ENCFF375JMY/, /files/ENCFF417GYT/	624145	ENCODE Processing Pipeline	1b006f9e5ad27a54abb8329a52edd9d8	NA	https://www.encodeproject.org/files/ENCFF799HIG/@@download/ENCFF799HIG.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/09/6d0418a6-4dff-4e71-9b23-17214005a993/ENCFF799HIG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/09/6d0418a6-4dff-4e71-9b23-17214005a993/ENCFF799HIG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	borderline replicate concordance, low read length, improper control_type of control experiment, low read depth	insufficient read depth	NA
ENCFF213EPU	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR486IFJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ESRRA	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF619KMH/, /files/ENCFF106AUG/, /files/ENCFF406YGF/	592333	ENCODE Processing Pipeline	bfd05e28fd40d1e2a57b194812d2950e	NA	https://www.encodeproject.org/files/ENCFF213EPU/@@download/ENCFF213EPU.bed.gz	NA	NA	NA	released	s3://encode-public/2018/02/26/0674981a-5713-4813-844d-08f9a1eb97d8/ENCFF213EPU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/02/26/0674981a-5713-4813-844d-08f9a1eb97d8/ENCFF213EPU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	borderline replicate concordance, mild to moderate bottlenecking, low read depth, moderate library complexity	NA	NA
ENCFF602OKQ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR486IFJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ESRRA	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF240NFK/, /files/ENCFF122FWH/, /files/ENCFF313UKE/	520809	ENCODE Processing Pipeline	03db0bf5bd21f1912d550e6072f5ece4	NA	https://www.encodeproject.org/files/ENCFF602OKQ/@@download/ENCFF602OKQ.bed.gz	NA	NA	NA	archived	s3://encode-public/2017/03/06/d416a349-e2db-4fa9-915b-f0478930088a/ENCFF602OKQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/d416a349-e2db-4fa9-915b-f0478930088a/ENCFF602OKQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	borderline replicate concordance, mild to moderate bottlenecking, low read depth, moderate library complexity	NA	NA
ENCFF076YZO	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BKQ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ETS1	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF122POU/, /files/ENCFF001TDO/, /files/ENCFF128BVU/, /files/ENCFF927YRG/	214196	ENCODE Processing Pipeline	124c1fdf52bdb35192e1849070affed9	NA	https://www.encodeproject.org/files/ENCFF076YZO/@@download/ENCFF076YZO.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/3adc8bff-2c1b-42d6-a79a-d308e9e07c0a/ENCFF076YZO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/3adc8bff-2c1b-42d6-a79a-d308e9e07c0a/ENCFF076YZO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth	control insufficient read depth	NA
ENCFF835KAT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EFY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ARID3A	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF411VNI/, /files/ENCFF001TDO/, /files/ENCFF378JGJ/, /files/ENCFF732QKX/	203969	ENCODE Processing Pipeline	61a07b9ac21ac0103491a01c337814c1	NA	https://www.encodeproject.org/files/ENCFF835KAT/@@download/ENCFF835KAT.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/09/6f2333a2-4bb5-4c04-97e0-a8c75c3bf219/ENCFF835KAT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/09/6f2333a2-4bb5-4c04-97e0-a8c75c3bf219/ENCFF835KAT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth, borderline replicate concordance	NA	NA
ENCFF380FJL	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EHA	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	TBP	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF891AHH/, /files/ENCFF001TDO/, /files/ENCFF523ODF/, /files/ENCFF545FAT/	395661	ENCODE Processing Pipeline	119c19af83bd82e64f13fb0805f4b209	NA	https://www.encodeproject.org/files/ENCFF380FJL/@@download/ENCFF380FJL.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/14/b72a07c7-0d5b-475e-a624-fbb6e850249b/ENCFF380FJL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/14/b72a07c7-0d5b-475e-a624-fbb6e850249b/ENCFF380FJL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF990CFV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR364SNE	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	POU5F1	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	150-350	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF272EQO/, /files/ENCFF768INF/, /files/ENCFF001TDO/, /files/ENCFF705MDG/	41921	ENCODE Processing Pipeline	8be2419d12baba94256451bb4acfde78	NA	https://www.encodeproject.org/files/ENCFF990CFV/@@download/ENCFF990CFV.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/d3ed6d13-f589-493a-aa65-37fa0e4c36cc/ENCFF990CFV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/d3ed6d13-f589-493a-aa65-37fa0e4c36cc/ENCFF990CFV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth, borderline replicate concordance	partially characterized antibody	NA
ENCFF182QDI	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BNE	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	EGR1	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF537QVM/, /files/ENCFF001TDO/, /files/ENCFF671MRQ/, /files/ENCFF511ZEU/	630223	ENCODE Processing Pipeline	32b8aef967771ff7865454fc10cc9ab3	NA	https://www.encodeproject.org/files/ENCFF182QDI/@@download/ENCFF182QDI.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/afc5dcbe-b95e-4431-9f56-f525503eb3a0/ENCFF182QDI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/afc5dcbe-b95e-4431-9f56-f525503eb3a0/ENCFF182QDI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	control insufficient read depth	NA
ENCFF738TKN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EGM	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CTCF	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF264LXL/, /files/ENCFF595QHF/, /files/ENCFF545EHA/	905102	ENCODE Processing Pipeline	8635b84f3c5785702257302d4b4b8f8a	NA	https://www.encodeproject.org/files/ENCFF738TKN/@@download/ENCFF738TKN.bed.gz	NA	NA	NA	released	s3://encode-public/2017/04/18/cff3bee5-3e5a-473a-a71e-0ad3f67e29ed/ENCFF738TKN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/04/18/cff3bee5-3e5a-473a-a71e-0ad3f67e29ed/ENCFF738TKN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, improper control_type of control experiment	NA	NA
ENCFF465JKF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EGJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MYC	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF033VDX/, /files/ENCFF019DFB/, /files/ENCFF165VLE/	538620	ENCODE Processing Pipeline	146303efe433182be7daba2298a9ffda	NA	https://www.encodeproject.org/files/ENCFF465JKF/@@download/ENCFF465JKF.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/09/e3621ef9-a82b-4a6d-81c7-eea510046602/ENCFF465JKF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/09/e3621ef9-a82b-4a6d-81c7-eea510046602/ENCFF465JKF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
