"","ENCFF002CXC","ENCFF002DDJ","ENCFF004WYV","ENCFF010UHD","ENCFF019PEL","ENCFF030HWZ","ENCFF043YZF","ENCFF058NMZ","ENCFF076YZO","ENCFF083YCQ","ENCFF085HTY","ENCFF106DAY","ENCFF126BCK","ENCFF144PPR","ENCFF150VTD","ENCFF182QDI","ENCFF213EPU","ENCFF228PSB","ENCFF231TGQ","ENCFF232KAH","ENCFF237UAN","ENCFF249EZR","ENCFF255EOB","ENCFF257RYT","ENCFF272ULO","ENCFF284LRP","ENCFF300XUA","ENCFF312RFN","ENCFF315YAF","ENCFF328XKC","ENCFF337DKJ","ENCFF352HGW","ENCFF380FJL","ENCFF384YDT","ENCFF388AJH","ENCFF392MUM","ENCFF422BXE","ENCFF422NGZ","ENCFF423EMU","ENCFF426DUB","ENCFF429XKT","ENCFF465JKF","ENCFF471ZTZ","ENCFF475TQE","ENCFF482CEV","ENCFF493ABN","ENCFF495MHZ","ENCFF497XOD","ENCFF502KHR","ENCFF507MGL","ENCFF517YCC","ENCFF557DSM","ENCFF558DSF","ENCFF558JBX","ENCFF558VPP","ENCFF564WEB","ENCFF573DRR","ENCFF577UJR","ENCFF580QGA","ENCFF583CIY","ENCFF602OKQ","ENCFF613RNG","ENCFF632NQI","ENCFF638YFC","ENCFF659WAF","ENCFF664XPS","ENCFF676NPW","ENCFF696KPD","ENCFF699ZII","ENCFF710IEF","ENCFF732HOE","ENCFF738TKN","ENCFF772HOY","ENCFF784FIE","ENCFF786WZD","ENCFF799HIG","ENCFF804ABO","ENCFF809MSQ","ENCFF812QPN","ENCFF828JWK","ENCFF833FCO","ENCFF835KAT","ENCFF895QLA","ENCFF911VSD","ENCFF917COW","ENCFF929YBC","ENCFF944GZI","ENCFF948TXN","ENCFF958KNK","ENCFF968KBN","ENCFF990CFV","ENCFF992QZV","ENCFF998YJY"
"-240","0.412797","0.560825","0.6761852","0.5236935","0.7814469","0.8104189","0.5966435","0.8221892","0.8397647","0.6335157","0.5818917","0.5884354","0.688491","0.7554267","0.6413755","0.7088034","0.6703139","0.4062886","0.6361281","0.6966601","0.5612117","0.7162902","0.5901663","0.5585287","0.3688988","0.4705277","0.8219895","0.7130722","0.7164314","0.689026","0.5528414","0.6312457","0.7246175","0.6322717","0.5213486","0.6915066","0.7312004","0.6873738","0.5084962","0.6012717","0.4183999","0.6947449","0.5424356","0.6432187","0.4950825","0.7490466","0.4794321","0.4663084","0.6331355","0.5788697","0.4824878","0.7786303","0.4696262","0.6541218","0.6177017","0.6910908","0.696981","0.4948071","0.6336854","0.6172905","0.6652464","0.4946983","0.4940089","0.7484708","0.5629103","0.5606573","0.5731674","0.5246674","0.5100081","0.4124423","0.5544657","0.5478915","0.6424518","0.5407993","0.7130435","0.6923198","0.7025708","0.7453662","0.4347858","0.4058482","0.7487853","0.4335931","0.5706195","0.4122859","0.7678649","0.5361469","0.5607726","0.6499639","0.4553039","0.4014106","0.806219","0.7515412","0.7086766"
"-239","0.412797","0.5610563","0.676513","0.5238524","0.7832115","0.8096133","0.5962577","0.8226845","0.8403703","0.6337945","0.5825279","0.5890306","0.6897134","0.7562152","0.6427402","0.7086979","0.6709417","0.4059686","0.6360104","0.6978446","0.5619731","0.717488","0.5904513","0.5589351","0.3690497","0.4708827","0.8225265","0.7130722","0.7159797","0.6896598","0.5530926","0.6312948","0.7250811","0.6322717","0.5221445","0.6922009","0.7322942","0.6878411","0.5076466","0.6012717","0.4190904","0.6952538","0.5431524","0.6451655","0.4952215","0.7495914","0.4800292","0.4669693","0.6341324","0.5787829","0.4834302","0.7784385","0.4701794","0.6537205","0.6185269","0.6919366","0.6984719","0.4948071","0.6348483","0.6180812","0.6658765","0.4953398","0.4939404","0.7488587","0.5634117","0.5610293","0.5737084","0.5257139","0.5103318","0.4120402","0.5554121","0.5481376","0.6435868","0.5420483","0.713885","0.6929214","0.7040721","0.7456938","0.43486","0.4061112","0.7496687","0.4339394","0.5712124","0.4129709","0.7683598","0.5369576","0.5616051","0.6501443","0.4555713","0.4018621","0.806219","0.752","0.7084626"
"-238","0.412797","0.5612412","0.6773326","0.5235347","0.7829594","0.8104189","0.5964506","0.8237458","0.8401973","0.6341429","0.5827946","0.5889456","0.6901449","0.7563544","0.643286","0.7089615","0.6713602","0.4059915","0.6361281","0.6981619","0.5620819","0.7176591","0.5908789","0.5595448","0.3692006","0.4712023","0.8231306","0.714016","0.7164314","0.6903936","0.553888","0.6319329","0.7258229","0.6327418","0.5217465","0.6924323","0.7342084","0.6881749","0.5091334","0.6023939","0.4189609","0.6954765","0.5444066","0.6443868","0.4955691","0.7501362","0.4800955","0.4670555","0.6344648","0.5786093","0.4845296","0.7795895","0.4706981","0.6540644","0.6186645","0.6925944","0.6992173","0.4933234","0.6356236","0.617554","0.6665967","0.4955662","0.4949675","0.749903","0.5639588","0.5612153","0.5747002","0.5262371","0.5109253","0.4125606","0.5561005","0.5486825","0.6447219","0.5432973","0.715007","0.6927645","0.705198","0.7462124","0.4352679","0.4061886","0.7487222","0.4349784","0.5712329","0.4130151","0.7686692","0.5374344","0.5622711","0.6502474","0.4561565","0.4021417","0.8053177","0.7527455","0.7088906"
"-237","0.4132629","0.561565","0.6777916","0.5235347","0.7842198","0.8106874","0.5962577","0.8241704","0.8412355","0.6344914","0.5831025","0.5896259","0.690828","0.7575139","0.6449236","0.7093042","0.6719283","0.4056259","0.6357748","0.6982888","0.5626802","0.7188569","0.5906888","0.5598835","0.3690712","0.4715929","0.8233991","0.7149599","0.7177866","0.6908939","0.5543485","0.6323255","0.7261011","0.6327418","0.5212349","0.6931844","0.7361225","0.6886422","0.508921","0.6031419","0.4189825","0.6960809","0.5439885","0.6451655","0.4956733","0.7502659","0.4802614","0.4677452","0.6347021","0.5785224","0.485472","0.7792058","0.4711475","0.6545517","0.6190771","0.6926571","0.6999627","0.4940653","0.6365927","0.6172905","0.6674368","0.49617","0.4953783","0.7503506","0.5638676","0.5612153","0.5741592","0.5268351","0.511195","0.4118983","0.5572191","0.5486298","0.645857","0.5445462","0.715007","0.6933138","0.7063239","0.7463489","0.4360467","0.4062195","0.7494794","0.4351515","0.571744","0.4130593","0.7690404","0.5379113","0.5637696","0.6501959","0.456541","0.4022277","0.8057684","0.7526882","0.7104953"
"-236","0.4138841","0.5614493","0.6777916","0.5239053","0.7852281","0.811493","0.5951003","0.8248779","0.8416681","0.6348747","0.5829383","0.5903912","0.6914393","0.7583024","0.6462882","0.709146","0.6726158","0.405603","0.6363636","0.6988811","0.5632784","0.7188569","0.591639","0.5604932","0.3692437","0.4720545","0.8244731","0.714488","0.7192547","0.6910607","0.5548509","0.6330127","0.725962","0.6329768","0.5212917","0.6930109","0.7369428","0.6888091","0.509983","0.6023939","0.4190472","0.69624","0.5437496","0.6450357","0.4965074","0.7507329","0.4807922","0.467659","0.6350344","0.5784356","0.4859431","0.7799731","0.471597","0.6544944","0.6193522","0.6930643","0.7005218","0.4925816","0.6361082","0.6162362","0.668127","0.4966794","0.4965423","0.7509772","0.5639132","0.5615563","0.57461","0.5273583","0.5114648","0.4120166","0.5585958","0.5486825","0.6464245","0.5445462","0.713885","0.6936277","0.7061362","0.7467584","0.4361951","0.4066682","0.7504891","0.4354113","0.5718054","0.4134129","0.7694116","0.5381497","0.5636031","0.6501186","0.4566413","0.4018191","0.8066697","0.7534337","0.7117792"
"-235","0.4132629","0.5613337","0.6780539","0.524223","0.7859844","0.8125671","0.595679","0.8248779","0.8421872","0.6351187","0.583123","0.5900935","0.6911516","0.7581169","0.6479258","0.7092514","0.6733632","0.4063114","0.6358926","0.6995368","0.5633328","0.7200548","0.592399","0.5613061","0.3690066","0.4726582","0.8248087","0.714016","0.7198193","0.6915277","0.5551648","0.6335526","0.7267965","0.6325068","0.5208369","0.6940523","0.7383101","0.6896103","0.5106202","0.6029549","0.4193061","0.6971307","0.5450636","0.6455548","0.4972024","0.7508886","0.4817542","0.4676015","0.6361737","0.5798246","0.4859431","0.7809323","0.471355","0.6546377","0.6201087","0.6937222","0.6999627","0.4918398","0.6368834","0.615709","0.6685471","0.4968114","0.49709","0.751186","0.5650985","0.5621454","0.5745199","0.5266856","0.5115187","0.4120639","0.559112","0.5488759","0.6475596","0.5437136","0.7147265","0.6937062","0.7059486","0.7473589","0.4363805","0.4071014","0.7511832","0.4351515","0.571744","0.4138548","0.7693497","0.5391989","0.5637696","0.6501701","0.4568252","0.4022922","0.8084723","0.7540645","0.7118862"
"-234","0.4129523","0.5615418","0.6789719","0.525176","0.7857323","0.8147154","0.5951003","0.8258685","0.8436581","0.6359201","0.5831846","0.5905612","0.6914033","0.7588126","0.6495633","0.709436","0.6742003","0.4071112","0.6361281","0.6998964","0.5637135","0.7197125","0.5925891","0.5607641","0.3696964","0.4726582","0.8258155","0.7135441","0.7214003","0.6924616","0.5553323","0.634387","0.7273064","0.6326243","0.5209506","0.6948044","0.7399508","0.6898773","0.509983","0.6029549","0.4196513","0.6974806","0.5452428","0.6458144","0.4976542","0.752082","0.4824509","0.4671992","0.6366485","0.5793906","0.4850008","0.7805486","0.471839","0.6551536","0.6202462","0.6942547","0.7008945","0.4925816","0.6375618","0.615709","0.6693873","0.4968869","0.4976378","0.7517529","0.5659646","0.5631065","0.5754215","0.5263866","0.5122201","0.4121585","0.559026","0.5489286","0.6475596","0.5428809","0.715007","0.694334","0.7072622","0.7481233","0.436603","0.4066682","0.7514356","0.4354113","0.5721529","0.4138327","0.7704634","0.5399619","0.5654346","0.650531","0.4571763","0.4026147","0.8102749","0.7542652","0.7121001"
"-233","0.4138324","0.5617499","0.6794964","0.5257055","0.7867406","0.8141783","0.5949074","0.8266469","0.8438311","0.6359201","0.5831846","0.5909439","0.6912954","0.7593692","0.6501092","0.7096732","0.6745291","0.4069969","0.6365992","0.7004675","0.5641486","0.7198836","0.5934442","0.5607641","0.3701276","0.4730488","0.8263525","0.714488","0.7217391","0.6927952","0.5559812","0.6351723","0.7285118","0.6337995","0.521178","0.6950359","0.741318","0.6900108","0.5104078","0.6025809","0.4193924","0.6975442","0.5457803","0.6456846","0.4983145","0.7529381","0.4826168","0.467544","0.6379302","0.5793906","0.4857861","0.7813159","0.4720465","0.6558989","0.6201774","0.6952259","0.7020127","0.4910979","0.6390154","0.6151819","0.6695073","0.4970944","0.4987333","0.7526182","0.5658279","0.5629205","0.5760527","0.5265361","0.5125978","0.4125606","0.5596283","0.5490868","0.6475596","0.5432973","0.7158485","0.6943863","0.7082004","0.7487511","0.4365659","0.4065754","0.7511832","0.4352381","0.5721325","0.4140316","0.7710512","0.5405818","0.5661006","0.6508145","0.4575274","0.4030448","0.8098242","0.754724","0.7127421"
"-232","0.4138841","0.5619349","0.6802833","0.5263409","0.7877489","0.8141783","0.5947145","0.828062","0.8438311","0.6359898","0.5834308","0.591369","0.6915831","0.7592764","0.6509279","0.7104112","0.675157","0.407454","0.6373057","0.7006367","0.5641486","0.7210815","0.5933492","0.5610351","0.3704941","0.4733329","0.8267553","0.7154318","0.7227555","0.6935624","0.5565672","0.6350741","0.7284655","0.6348572","0.5216328","0.6953252","0.7432322","0.6904949","0.511045","0.6029549","0.4196298","0.6980532","0.5466165","0.6467229","0.4983145","0.7530678","0.4831144","0.4681187","0.6388322","0.5784356","0.4857861","0.7818914","0.4726342","0.6561282","0.6210027","0.6954451","0.7018263","0.4940653","0.6391123","0.6159726","0.6699274","0.4972454","0.498391","0.7527674","0.565919","0.5634165","0.5770445","0.5266109","0.5128675","0.4124897","0.5593702","0.5494911","0.6486947","0.5432973","0.714446","0.6943602","0.7082004","0.7493517","0.4368997","0.4066063","0.7515618","0.4361905","0.5729094","0.4140979","0.7717317","0.5406772","0.5666001","0.6514331","0.4583466","0.4031308","0.8098242","0.7551828","0.712849"
"-231","0.4145571","0.5622818","0.6811684","0.5263409","0.7874968","0.8152524","0.5954861","0.8286988","0.8438311","0.6364777","0.5838002","0.5918367","0.6923381","0.7595547","0.6522926","0.7107275","0.6754858","0.4081852","0.6374235","0.7012289","0.5648556","0.7210815","0.5942043","0.5614415","0.3702785","0.4736524","0.8274936","0.7177914","0.7225296","0.694463","0.5567138","0.6353686","0.7293","0.6352098","0.5224856","0.6960773","0.7426853","0.690812","0.5118946","0.603703","0.4197592","0.6983395","0.5467359","0.6467229","0.4987315","0.7536645","0.483612","0.4683773","0.639117","0.5799983","0.4859431","0.7824669","0.4729454","0.6565008","0.6214153","0.6952885","0.7033172","0.4962908","0.639403","0.6154454","0.6699874","0.4973775","0.4979117","0.7537222","0.5663749","0.5641606","0.5769543","0.5261624","0.5132992","0.4122768","0.5608329","0.5497899","0.6486947","0.5437136","0.715007","0.6950403","0.7087634","0.7502525","0.4376785","0.406529","0.7516249","0.4361905","0.5729708","0.4142305","0.7718555","0.5415355","0.5664336","0.6519744","0.4587478","0.4032813","0.8102749","0.7558996","0.71317"
"-230","0.4147124","0.562513","0.6818897","0.5266056","0.7882531","0.8147154","0.5954861","0.8291941","0.8446098","0.6369655","0.5837181","0.5921344","0.693237","0.7600649","0.6531114","0.7114918","0.6755755","0.4084365","0.6382478","0.7018423","0.5652363","0.721937","0.5941568","0.5620512","0.3702139","0.4740075","0.8283662","0.7182633","0.7225296","0.69503","0.5568812","0.6357613","0.7301344","0.6355623","0.5226562","0.6967716","0.7432322","0.6908787","0.5127443","0.6031419","0.419263","0.6989757","0.5469749","0.6469825","0.498523","0.7542353","0.4845077","0.4684635","0.6394493","0.58104","0.4868855","0.7828506","0.4736369","0.6571314","0.6216216","0.6957897","0.704249","0.5","0.6399845","0.6159726","0.6705575","0.4977359","0.4981856","0.7545278","0.5667852","0.5642536","0.5773149","0.5264614","0.5134071","0.4122295","0.5609189","0.5500536","0.6498297","0.5432973","0.7152875","0.6955111","0.7098893","0.7506893","0.4376785","0.4066063","0.7517511","0.4364502","0.5729094","0.4146945","0.7725979","0.5418693","0.5664336","0.651794","0.4591825","0.4031523","0.8089229","0.7568746","0.7141329"
